chrom	length	bases	mean	min	max
chr1	249250621	4919085	0.02	0	135
chr1_region	249250621	4919085	0.02	0	135
chr2	243199373	2739448	0.01	0	119
chr2_region	243199373	2739448	0.01	0	119
chr3	198022430	71974	0.00	0	21
chr3_region	198022430	71974	0.00	0	21
chr4	191154276	112026	0.00	0	21
chr4_region	191154276	112026	0.00	0	21
chr5	180915260	189654	0.00	0	22
chr5_region	180915260	189654	0.00	0	22
chr6	171115067	197259	0.00	0	29
chr6_region	171115067	197259	0.00	0	29
chr8	146364022	154887	0.00	0	28
chr8_region	146364022	154887	0.00	0	28
chr10	135534747	179634	0.00	0	18
chr10_region	135534747	179634	0.00	0	18
chr12	133851895	88606	0.00	0	25
chr12_region	133851895	88606	0.00	0	25
chr13	115169878	342223	0.00	0	32
chr13_region	115169878	342223	0.00	0	32
chr15	102531392	98867	0.00	0	17
chr15_region	102531392	98867	0.00	0	17
chr16	90354753	19538398	0.22	0	205
chr16_region	90354753	19538398	0.22	0	205
total	1957463714	28632061	0.01	0	205
total_region	1957463714	28632061	0.01	0	205
